No.;Time;;;;;;Time 2;Time 1;Delay;;;Delay 1;Delay 2;Jitter
159;4,427635;;;;;;4,427635;4,427635;0;;;0;0;0
160;4,427635;;;;;;4,427635;4,427635;0;;;0;0;0
161;4,427635;;;;;;4,427635;4,427635;0;;;0;0;0
162;4,427635;;;;;;4,427635;4,427635;0;;;0;0;0
163;4,427635;;;;;;4,427635;4,427635;0;;;0;0;0
164;4,427635;;;;;;4,427635;4,427635;0;;;0;0;0
165;4,427635;;;;;;4,427635;4,427635;0;;;-0,000345;0,000345;0,00069
166;4,427635;;;;;;4,42798;4,427635;0,000345;;;0,000182;0,000163;-1,9E-05
167;4,42798;;;;;;4,428143;4,42798;0,000163;;;4,4E-05;0,000119;7,5E-05
168;4,428143;;;;;;4,428262;4,428143;0,000119;;;-7E-06;0,000126;0,000133
169;4,428262;;;;;;4,428388;4,428262;0,000126;;;-8,6E-05;0,000212;0,000298
170;4,428388;;;;;;4,4286;4,428388;0,000212;;;4,2E-05;0,00017;0,000128
171;4,4286;;;;;;4,42877;4,4286;0,00017;;;5,2E-05;0,000118;6,6E-05
172;4,42877;;;;;;4,428888;4,42877;0,000118;;;2E-06;0,000116;0,000114
173;4,428888;;;;;;4,429004;4,428888;0,000116;;;-0,009304;0,00942;0,018724
174;4,429004;;;;;;4,438424;4,429004;0,00942;;;0,00942;0;-0,00942
175;4,438424;;;;;;4,438424;4,438424;0;;;0;0;0
176;4,438424;;;;;;4,438424;4,438424;0;;;0;0;0
177;4,438424;;;;;;4,438424;4,438424;0;;;0;0;0
178;4,438424;;;;;;4,438424;4,438424;0;;;0;0;0
179;4,438424;;;;;;4,438424;4,438424;0;;;0;0;0
180;4,438424;;;;;;4,438424;4,438424;0;;;0;0;0
181;4,438424;;;;;;4,438424;4,438424;0;;;0;0;0
182;4,438424;;;;;;4,438424;4,438424;0;;;-0,000255;0,000255;0,00051
183;4,438424;;;;;;4,438679;4,438424;0,000255;;;0,000205;5E-05;-0,000155
184;4,438679;;;;;;4,438729;4,438679;5E-05;;;5E-05;0;-5E-05
185;4,438729;;;;;;4,438729;4,438729;0;;;0;0;0
186;4,438729;;;;;;4,438729;4,438729;0;;;0;0;0
187;4,438729;;;;;;4,438729;4,438729;0;;;-9,7E-05;9,7E-05;0,000194
188;4,438729;;;;;;4,438826;4,438729;9,7E-05;;;9,7E-05;0;-9,7E-05
189;4,438826;;;;;;4,438826;4,438826;0;;;0;0;0
190;4,438826;;;;;;4,438826;4,438826;0;;;0;0;0
191;4,438826;;;;;;4,438826;4,438826;0;;;0;0;0
192;4,438826;;;;;;4,438826;4,438826;0;;;0;0;0
193;4,438826;;;;;;4,438826;4,438826;0;;;0;0;0
194;4,438826;;;;;;4,438826;4,438826;0;;;0;0;0
195;4,438826;;;;;;4,438826;4,438826;0;;;0;0;0
196;4,438826;;;;;;4,438826;4,438826;0;;;0;0;0
197;4,438826;;;;;;4,438826;4,438826;0;;;0;0;0
198;4,438826;;;;;;4,438826;4,438826;0;;;-0,000247;0,000247;0,000494
199;4,438826;;;;;;4,439073;4,438826;0,000247;;;4,8E-05;0,000199;0,000151
200;4,439073;;;;;;4,439272;4,439073;0,000199;;;0,000199;0;-0,000199
201;4,439272;;;;;;4,439272;4,439272;0;;;-0,002064;0,002064;0,004128
202;4,439272;;;;;;4,441336;4,439272;0,002064;;;0,001547;0,000517;-0,00103
203;4,441336;;;;;;4,441853;4,441336;0,000517;;;0,00037;0,000147;-0,000223
204;4,441853;;;;;;4,442;4,441853;0,000147;;;-2E-05;0,000167;0,000187
205;4,442;;;;;;4,442167;4,442;0,000167;;;-2,5E-05;0,000192;0,000217
206;4,442167;;;;;;4,442359;4,442167;0,000192;;;6,6E-05;0,000126;6E-05
207;4,442359;;;;;;4,442485;4,442359;0,000126;;;-1,1E-05;0,000137;0,000148
208;4,442485;;;;;;4,442622;4,442485;0,000137;;;2,3E-05;0,000114;9,1E-05
209;4,442622;;;;;;4,442736;4,442622;0,000114;;;-1,5E-05;0,000129;0,000144
210;4,442736;;;;;;4,442865;4,442736;0,000129;;;-4,3E-05;0,000172;0,000215
211;4,442865;;;;;;4,443037;4,442865;0,000172;;;5,3E-05;0,000119;6,6E-05
212;4,443037;;;;;;4,443156;4,443037;0,000119;;;-1,2E-05;0,000131;0,000143
213;4,443156;;;;;;4,443287;4,443156;0,000131;;;-0,000874;0,001005;0,001879
214;4,443287;;;;;;4,444292;4,443287;0,001005;;;0,00084;0,000165;-0,000675
215;4,444292;;;;;;4,444457;4,444292;0,000165;;;-8E-06;0,000173;0,000181
216;4,444457;;;;;;4,44463;4,444457;0,000173;;;8E-06;0,000165;0,000157
217;4,44463;;;;;;4,444795;4,44463;0,000165;;;-0,002747;0,002912;0,005659
218;4,444795;;;;;;4,447707;4,444795;0,002912;;;-0,006705;0,009617;0,016322
219;4,447707;;;;;;4,457324;4,447707;0,009617;;;0,009503;0,000114;-0,009389
220;4,457324;;;;;;4,457438;4,457324;0,000114;;;7,5E-05;3,9E-05;-3,6E-05
221;4,457438;;;;;;4,457477;4,457438;3,9E-05;;;-3E-06;4,2E-05;4,5E-05
222;4,457477;;;;;;4,457519;4,457477;4,2E-05;;;-6E-06;4,8E-05;5,4E-05
223;4,457519;;;;;;4,457567;4,457519;4,8E-05;;;4,8E-05;0;-4,8E-05
224;4,457567;;;;;;4,457567;4,457567;0;;;0;0;0
225;4,457567;;;;;;4,457567;4,457567;0;;;-5,5E-05;5,5E-05;0,00011
226;4,457567;;;;;;4,457622;4,457567;5,5E-05;;;7E-06;4,8E-05;4,1E-05
227;4,457622;;;;;;4,45767;4,457622;4,8E-05;;;4,8E-05;0;-4,8E-05
228;4,45767;;;;;;4,45767;4,45767;0;;;-7,1E-05;7,1E-05;0,000142
